weekday,time,show,date_scraped,songs_played
Monday,8am - 9am,Local Music Mix,2022-02-11,"{'Cactus Lee': 'Dave Saves', 'Sara Hickman with Kristin DeWitt': 'The Train Song', 'Austin Lounge Lizards': 'Strange Noises in the Dark', 'Broken Gold': 'Ambulance Faces', 'Dead Animal': 'Praise to the Queen', 'David Rovics': 'Free Abu Sakha', 'Candace Bellamy': 'Skies Are Grey', 'Gary Graves with Ravner Salinas': 'Love is a Dangerous Thing', 'Bee vs. Moth': 'Ugly is the New Black', 'Dwarf Nebula': ""Comin' Around"", 'fortune my foe': 'Lachrimae Pavan', 'Ghosts Along The Brazos': 'Los Brazos de Dios', 'Opposite Day': 'Day Of The Triffids', 'Why Bonnie': 'Voice Box', 'Potential Johns': ""Why'd You Walk Away"", 'Prima Donnas': 'Headfull of Pills', 'Riverboat Gamblers': 'Ice Water', 'Radioactivity': 'World of Pleasure', 'Rod Moag': 'Eight More Miles To Louisville', 'Ramsay Midwood': 'Maybelline Grease', 'Semihelix': 'Only to go on', 'Stop Motion Orchestra': 'Way To Sarov', 'Teri Joyce': 'Kitchen Radio', 'The Bellfuries': 'You Must Be A Loser', 'The Sword': 'Eyes Of The Stormwitch', 'Tony Harrison': 'Baby That Would Sure Go Good', 'Walter Hyatt': 'Teach Me About Love', 'Willie Nelson': ""I'd Have To Be Crazy"", 'Alex Coke': 'Thank You Tony', 'Daniel Johnston': 'True Love Will Find You In The End', 'Holy Wave': ""I'm Not Living in the Past Anymore"", 'Danny & The Nightmares': 'Haunted House', 'Rosie Flores': 'Tremolo', 'The Semi': 'Modulars', 'Hunt Sales Memorial': 'One Day', 'Fee Lion': 'On Me', 'Freddie Steady Krc with Bill Browder': ""You're No Good for Me"", 'Chandra Washington': 'spontaneous vocal improvisation', 'Gina Chavez': 'Miles de Millas', 'Living Grateful': 'Brownstone Gals', 'Hamerzya': ""London '79"", 'Lucid Dementia': 'When The World Leaves You Behind', 'DAYEATER': 'Plastic Ratt', 'Mirror Travel': 'Mexico', 'Mr.Kitty': 'Not Dead Yet', 'New Neon': 'New Pulse', 'Kat Edmonson': 'One Fine Day', 'Akina Adderley & The Vintage Playboys': 'Hypnotized', 'Two High String Band': 'Hello City Limits', 'Harlem': 'Cloud Pleaser', 'Buttercup': 'National Spelling Bee Contest', 'Rescue Mission': 'My Neon Lover', 'Rio Waves': ""Don't Let Me Go"", 'Shapes Have Fangs': 'Rattle and Confuse Me', 'Sin + Seraphim': 'Redemption', 'Naga Brujo': 'Chaodyssey', 'SINE': 'Love High', 'Amanda Pascali': 'Tarantella Avion', 'Tameca Jones': 'Hot And Bothered', 'Carrie Elkins & Danny Schmidt': 'Proposal Song', 'Single Lash': 'Frozen Honey', 'George Kinney': 'When You Cry', 'Grace Pettis': 'Abilene', 'Don Diego Trio': 'Suspicious', 'James Hand': 'Just an Old Man with an Old Song', 'Temple of Angels': 'Cerise Dream', 'The Nimbus': 'Fever', 'Bill Callahan': 'If You Could Touch Her At All', 'Blastfamous USA': 'Not Your City', 'Honky': ""Baby Don't Slow Down"", 'Glass Eye': 'Endless Day', 'Spray Paint': 'Fleshy Boy', 'Marijuana Sweet Tooth': 'Utopia, TX', 'UtinUtin': 'Your House', 'WE Are The Asteroid': 'Trilogy', ""Uncle Walt's Band"": ""Don't You Think I Feel It Too"", 'The Octopus Project': ""Bees Bein' Strugglin'"", 'Bo Bud Greene': 'Flaw', 'Chronophage': 'Not to Dream Again', 'Townes Van Zandt': 'Fare Thee Well, Miss Carousel', 'Emora': 'The Seed', 'Espectrostatic': 'Escape from Witchtropolis', 'Excercise': 'Information', 'Explosives': 'A Girl Like You', 'Hi, Gene!': 'Grapeland', ""Nick Garza's Get Along"": 'Muchacha', 'Brian Scartocci': 'Sweet Funky Nonsense', 'The Sun Machine': 'Sound Of Dissent', 'Eddie Spaghetti': 'Empty', 'Inhalants': 'It Was Hyper Real', 'Indrajit': 'Afternoon Raga', 'Guy Forsyth': ""She's Crazy Now"", 'Emjae Ross and Bill Blue Bushey': 'Around the World Blues', 'Jason Roberts and Rick McRae': 'I Hear You Talkin’', 'Black Ladder': 'Magic Doctor', 'Blushing': 'Control', 'Butthole Surfers': 'I Saw an X', 'Crocodile': 'I Was Dreaming', 'Del Castillo': 'Brotherhood', 'Grupo Fantasma': 'Arroz Con Frijoles', 'Future Clouds & Radar': 'Backseat Silver Jet Sighter', 'Jeff Hughes & Chaparral': 'Just Like Heaven', 'Sunray Project': 'Yellam Aliparre', 'The Aaron Clift Experiment': 'Kissed By The Sun', 'Thirteen Of Everything': 'Life Is Change', 'Pelvis Wrestley': 'Susanna', 'Bad Boy Croy': 'Family Man', 'Caleb de Casper': 'Elephants', 'Pork': 'Grand Slam Baby', 'Rocket 808': 'Rocket 808', 'Little Mazarn': 'My Love Is All Around You', 'Sam Pankey, Daniel Dufour, Damian Garcia': '501', 'Dana Cooper': 'Harry Truman Built a Road', 'John Lilly': 'In Time', 'Ian McDougal of Broken Gold': 'Turning Blue', ""Hot Pickin' 57s"": 'Back in the Day', 'John Schooley and Walter Daniels': 'Dead Mall Blues', 'Wild Seeds': 'She Said', 'Graham Reynolds': 'Police Station', 'Charlie Belle': 'Six', 'Emme': 'Enjoy The Silence', 'Hovvdy': 'Mr. Lee', 'Jerry David DeCicca': 'Splendid Isolation', 'Kay Odyssey': 'Reach To You', 'Future Museums': 'Leaving the Vessel', 'Orange Mothers': 'Family Affair', 'Brandon DeMaris': 'Family', 'Aimee Bobruk': 'A Day In The Life', 'Hot Club of Cowtown': 'Sleep', 'Origami Ghosts': 'Keeper Sutherland', 'Ringo Deathstarr': 'Cotton Candy Clouds', 'Sixteen Deluxe': 'Hit It', 'Kalu and the Electric Joint': 'Can of Invisible Paint', 'Jonathan Edwards': 'Sunshine', 'Jon Hogan and Maria Moss': 'Leaky Tent', 'Spoon': 'Dismember', 'The 13th Floor Elevators': 'She Lives', 'Being Dead': 'Wild Man', 'Kris Schultz': 'Return Address', 'Twigs & Yarn': 'Lend A Hand', 'Crisman': 'Icee Blue', 'Amy Cook': 'Get It RIght', 'Suzanna Choffel': 'Archer', 'Crooks': 'River Road', 'Wine And Revolution': 'Trees', 'Butch Hancock': 'Chase', 'Lucinda Williams': 'Lonely girls', 'Keanu Reef': 'Central Texas Surf', 'Roky Erickson': 'Two Headed Dog', 'Sara Hickman': 'Tasty Sweet', 'Andrea Dawson': ""You Just Can't Get It Sittin' Down"", 'Joe King Carrasco': 'Pachuco Hop', 'Bob Schneider': 'Let The Light In', 'Michael Martin Murphey': ""Geronimo's Cadillac"", ""Mo' Debly"": 'Element', 'Jon Langford': ""Hell's Roof"", 'Jimmy LaFave': 'Desperate Men Do Desperate Things', 'My Exotic Other': 'My Exotic Other', 'Ronnie Lane': 'Kuschty Rye'}"
Monday,9am - 10am,Theme Music,2022-02-11,"{'Neil Richardson': 'The Riviera Affair', 'Sam Cooke': 'A Change Is Gonna Come', 'The Melodians': 'Rivers Of Babylon', 'Dakota Staton': ""Walkin' By The River"", 'Fats Domino': 'Going To The River', 'Robert Johnson': 'Traveling Riverside Blues', 'Sister Rosetta Tharpe & The Sammy Price Trio': 'Down By The Riverside', 'Somi feat. Common': 'When Rivers Cry', 'Jimmy Cliff': 'Many Rivers To Cross', 'Ella Fitzgerald': 'Cry Me A River', 'Langston Hughes': 'The Negro Speaks Of Rivers', 'Leon Bridges': 'River', 'Ike & Tina Turner': 'River Deep', 'Al Green': 'Take Me To The River', 'The Staple Singers': 'Wade In The Water', 'Frank Ocean': 'Moon River'}"
Monday,10am - 11am,Guitar Picks,2022-02-11,"{'Group X': 'There Are 8 Million Cossack Melodies And This Is One Of Them', 'John Abercrombie': 'Bayou Fever', 'Meat Puppets': 'Up On The Sun', 'James Blood Ulmer': 'On and On', 'Roy Smeck': 'Laughing Rag', 'Billy Cobham': 'Quadrant 4', 'Tommy Bolin': 'Crazed Fandango', 'The Plugz': 'Electrify Me', 'Kazumi Watanabe': ""Walk Don't Run"", 'The Tikiyaki Orchestra': 'Ilikai 65', 'The Lively Ones': 'Exodus'}"
Monday,11am - 12pm,Roses and Thorns,2022-02-11,"{'Bobby Womack': 'Across 110th St.', 'The Spinners': ""I'll Be Around"", 'The Doobie Brothers': ""Takin' It to the Streets"", 'My Morning Jacket': 'One Big Holiday', 'Aeon Station': 'Better Love', 'The Go Gos': 'Lust to Love', 'Willis Alan Ramsey': 'Muskrat Love', 'Charley Crockett': 'I Can Help', 'The Beau Brummels': 'Laugh, Laugh', 'King Harvest': 'Dancing in the Moonlight', 'Kik Tracee': 'Field Trip'}"
Monday,3pm - 4:30pm,The Radio Still Screams,2022-02-11,"{'The Heartbreakers': 'I Wanna Be Loved', 'The Incredible Kidda Band': 'Watch Out Thief', 'The Zeros': 'They Say That', 'The Kids': 'Do You Wanna Know', 'D.R.I.': 'The Target', 'Exodus': 'Piranha', 'Bad Brains': 'Destroy Babylon', 'The Beguiled': ""The Nightrider's Theme"", 'The Cramps': 'God Monster', 'Guitar Wolf': 'UFO Romantics', 'The Nomads': 'My Deadly Game', 'Sisters Of Mercy': 'On the Wire', 'Toys Went Berserk': 'Tiptoe', 'Wire': 'On Returning', 'The Ramones': ""Life's A Gas"", 'The Descendents': 'We', 'The Muffs': 'Really Really Happy', 'The Buzzcocks': 'Operators Manual', 'T. Rex': 'Truck On', 'Lemming': 'Lucifera', 'Queen': 'Sweet Lady'}"
Monday,4:30pm - 6pm,Ear Candy 2.0,2022-02-11,"{'The Strangeloves': 'I Want Candy', 'King Curtis': 'Witchita Lineman', 'Joe Tex': 'You Said A Bad Word', 'Brenton Wood': 'I Like The Way You Love Me', 'Sister Rosetta Tharpe': 'Strange Things Happening Every Day', 'Malcolm X': 'No Taxation Without Representation', 'Gil Scott': 'Heron', 'Bob Marley & The Wailers': 'Redemption Song', 'Merry Clayton': 'Gimmie Shelter', 'Saul Williams': 'List Of Demands', 'Big Mama Thornton': 'Hound Dog', 'Sam Cooke': 'A Change Is Gonna Come', 'Public Enemy': 'Revolutionary Generation', 'Marvin Gaye': 'Mercy, Mercy Me', 'The Impressions': 'Inner City Blues', 'Prince': ""Sign O' The Times"", 'Billy Preston': 'Space Race', 'James Brown': 'Say It Loud', 'Love': 'Old Man', 'Bill Withers': ""Grandma's Hands"", 'Nina Simone': 'I Wish I Knew How It Would Feel To Be Free'}"
Monday,7pm - 8pm,The Emo Diaries,2022-02-11,"{'Machine Gun Kelly ft. Willow': 'Emo Girl', 'Good Charlotte': 'Riot Girl', 'Bowling For Soup': 'Girl All The Bad Guys Want', 'Brand New': 'Magazines', 'Pom Pom Squad': 'Popular', 'Grandview': 'Sitting On Gold', ""Their / They're / There"": ""Their / They're / Therapy"", 'Circa Survive': 'Electric Moose', 'Reggie and the Full Effect': 'Maggie', 'hey, ily!': 'DigitalLung.EXE', 'Native Nod': 'Bread', 'Touché Amoré': 'Non Fiction', 'Pianos Become the Teeth': 'Say Nothing', 'Motion City Soundtrack': ""Together We'll Ring In The New Year""}"
Monday,9pm - Overnight,Local Music Mix,2022-02-11,"{'Cactus Lee': 'Dave Saves', 'Sara Hickman with Kristin DeWitt': 'The Train Song', 'Austin Lounge Lizards': 'Strange Noises in the Dark', 'Broken Gold': 'Ambulance Faces', 'Dead Animal': 'Praise to the Queen', 'David Rovics': 'Free Abu Sakha', 'Candace Bellamy': 'Skies Are Grey', 'Gary Graves with Ravner Salinas': 'Love is a Dangerous Thing', 'Bee vs. Moth': 'Ugly is the New Black', 'Dwarf Nebula': ""Comin' Around"", 'fortune my foe': 'Lachrimae Pavan', 'Ghosts Along The Brazos': 'Los Brazos de Dios', 'Opposite Day': 'Day Of The Triffids', 'Why Bonnie': 'Voice Box', 'Potential Johns': ""Why'd You Walk Away"", 'Prima Donnas': 'Headfull of Pills', 'Riverboat Gamblers': 'Ice Water', 'Radioactivity': 'World of Pleasure', 'Rod Moag': 'Eight More Miles To Louisville', 'Ramsay Midwood': 'Maybelline Grease', 'Semihelix': 'Only to go on', 'Stop Motion Orchestra': 'Way To Sarov', 'Teri Joyce': 'Kitchen Radio', 'The Bellfuries': 'You Must Be A Loser', 'The Sword': 'Eyes Of The Stormwitch', 'Tony Harrison': 'Baby That Would Sure Go Good', 'Walter Hyatt': 'Teach Me About Love', 'Willie Nelson': ""I'd Have To Be Crazy"", 'Alex Coke': 'Thank You Tony', 'Daniel Johnston': 'True Love Will Find You In The End', 'Holy Wave': ""I'm Not Living in the Past Anymore"", 'Danny & The Nightmares': 'Haunted House', 'Rosie Flores': 'Tremolo', 'The Semi': 'Modulars', 'Hunt Sales Memorial': 'One Day', 'Fee Lion': 'On Me', 'Freddie Steady Krc with Bill Browder': ""You're No Good for Me"", 'Chandra Washington': 'spontaneous vocal improvisation', 'Gina Chavez': 'Miles de Millas', 'Living Grateful': 'Brownstone Gals', 'Hamerzya': ""London '79"", 'Lucid Dementia': 'When The World Leaves You Behind', 'DAYEATER': 'Plastic Ratt', 'Mirror Travel': 'Mexico', 'Mr.Kitty': 'Not Dead Yet', 'New Neon': 'New Pulse', 'Kat Edmonson': 'One Fine Day', 'Akina Adderley & The Vintage Playboys': 'Hypnotized', 'Two High String Band': 'Hello City Limits', 'Harlem': 'Cloud Pleaser', 'Buttercup': 'National Spelling Bee Contest', 'Rescue Mission': 'My Neon Lover', 'Rio Waves': ""Don't Let Me Go"", 'Shapes Have Fangs': 'Rattle and Confuse Me', 'Sin + Seraphim': 'Redemption', 'Naga Brujo': 'Chaodyssey', 'SINE': 'Love High', 'Amanda Pascali': 'Tarantella Avion', 'Tameca Jones': 'Hot And Bothered', 'Carrie Elkins & Danny Schmidt': 'Proposal Song', 'Single Lash': 'Frozen Honey', 'George Kinney': 'When You Cry', 'Grace Pettis': 'Abilene', 'Don Diego Trio': 'Suspicious', 'James Hand': 'Just an Old Man with an Old Song', 'Temple of Angels': 'Cerise Dream', 'The Nimbus': 'Fever', 'Bill Callahan': 'If You Could Touch Her At All', 'Blastfamous USA': 'Not Your City', 'Honky': ""Baby Don't Slow Down"", 'Glass Eye': 'Endless Day', 'Spray Paint': 'Fleshy Boy', 'Marijuana Sweet Tooth': 'Utopia, TX', 'UtinUtin': 'Your House', 'WE Are The Asteroid': 'Trilogy', ""Uncle Walt's Band"": ""Don't You Think I Feel It Too"", 'The Octopus Project': ""Bees Bein' Strugglin'"", 'Bo Bud Greene': 'Flaw', 'Chronophage': 'Not to Dream Again', 'Townes Van Zandt': 'Fare Thee Well, Miss Carousel', 'Emora': 'The Seed', 'Espectrostatic': 'Escape from Witchtropolis', 'Excercise': 'Information', 'Explosives': 'A Girl Like You', 'Hi, Gene!': 'Grapeland', ""Nick Garza's Get Along"": 'Muchacha', 'Brian Scartocci': 'Sweet Funky Nonsense', 'The Sun Machine': 'Sound Of Dissent', 'Eddie Spaghetti': 'Empty', 'Inhalants': 'It Was Hyper Real', 'Indrajit': 'Afternoon Raga', 'Guy Forsyth': ""She's Crazy Now"", 'Emjae Ross and Bill Blue Bushey': 'Around the World Blues', 'Jason Roberts and Rick McRae': 'I Hear You Talkin’', 'Black Ladder': 'Magic Doctor', 'Blushing': 'Control', 'Butthole Surfers': 'I Saw an X', 'Crocodile': 'I Was Dreaming', 'Del Castillo': 'Brotherhood', 'Grupo Fantasma': 'Arroz Con Frijoles', 'Future Clouds & Radar': 'Backseat Silver Jet Sighter', 'Jeff Hughes & Chaparral': 'Just Like Heaven', 'Sunray Project': 'Yellam Aliparre', 'The Aaron Clift Experiment': 'Kissed By The Sun', 'Thirteen Of Everything': 'Life Is Change', 'Pelvis Wrestley': 'Susanna', 'Bad Boy Croy': 'Family Man', 'Caleb de Casper': 'Elephants', 'Pork': 'Grand Slam Baby', 'Rocket 808': 'Rocket 808', 'Little Mazarn': 'My Love Is All Around You', 'Sam Pankey, Daniel Dufour, Damian Garcia': '501', 'Dana Cooper': 'Harry Truman Built a Road', 'John Lilly': 'In Time', 'Ian McDougal of Broken Gold': 'Turning Blue', ""Hot Pickin' 57s"": 'Back in the Day', 'John Schooley and Walter Daniels': 'Dead Mall Blues', 'Wild Seeds': 'She Said', 'Graham Reynolds': 'Police Station', 'Charlie Belle': 'Six', 'Emme': 'Enjoy The Silence', 'Hovvdy': 'Mr. Lee', 'Jerry David DeCicca': 'Splendid Isolation', 'Kay Odyssey': 'Reach To You', 'Future Museums': 'Leaving the Vessel', 'Orange Mothers': 'Family Affair', 'Brandon DeMaris': 'Family', 'Aimee Bobruk': 'A Day In The Life', 'Hot Club of Cowtown': 'Sleep', 'Origami Ghosts': 'Keeper Sutherland', 'Ringo Deathstarr': 'Cotton Candy Clouds', 'Sixteen Deluxe': 'Hit It', 'Kalu and the Electric Joint': 'Can of Invisible Paint', 'Jonathan Edwards': 'Sunshine', 'Jon Hogan and Maria Moss': 'Leaky Tent', 'Spoon': 'Dismember', 'The 13th Floor Elevators': 'She Lives', 'Being Dead': 'Wild Man', 'Kris Schultz': 'Return Address', 'Twigs & Yarn': 'Lend A Hand', 'Crisman': 'Icee Blue', 'Amy Cook': 'Get It RIght', 'Suzanna Choffel': 'Archer', 'Crooks': 'River Road', 'Wine And Revolution': 'Trees', 'Butch Hancock': 'Chase', 'Lucinda Williams': 'Lonely girls', 'Keanu Reef': 'Central Texas Surf', 'Roky Erickson': 'Two Headed Dog', 'Sara Hickman': 'Tasty Sweet', 'Andrea Dawson': ""You Just Can't Get It Sittin' Down"", 'Joe King Carrasco': 'Pachuco Hop', 'Bob Schneider': 'Let The Light In', 'Michael Martin Murphey': ""Geronimo's Cadillac"", ""Mo' Debly"": 'Element', 'Jon Langford': ""Hell's Roof"", 'Jimmy LaFave': 'Desperate Men Do Desperate Things', 'My Exotic Other': 'My Exotic Other', 'Ronnie Lane': 'Kuschty Rye'}"
Tuesday,8am - 9am,A Blues Groove,2022-02-11,"{'Lonnie Johnson and Clara Smith': 'You Had Too Much', 'Pink Anderson': 'I Got A Woman', 'Eddie Burns': 'Biscuit Baking Mama', 'Ray Sharpe': 'Linda Lou', 'Floyd Dixon': 'Hole In The Wall', 'Big John Wrencher and His Maxwell Street Boys': 'Maxwell Street Alley Blues', 'Earl King': 'Those Lonely , Lonely Nights', 'Aretha Franklin (feat King Curtis)': 'Save Me', 'Bob Stroger': 'Just A Bad Boy', 'Louisianna Red & Bob Corritore': 'Freight Train To Ride', 'King Curtis and Champion Jack Dupree': 'Get With It', 'Kenny Blues Boss Wayne': 'Wish Me Well', 'Ronnie Earl feat Diane Blue': '', 'The Keller Brothers feat Mike Keller': 'Hold Everything'}"
Tuesday,9am - 11am,Under The X In Texas,2022-02-11,"{'Clay Blaker': 'Under the X in Texas', 'Bob Wills and His Texas Playboys feat The McKinney Sisters': 'Put Your Arms Around Me', 'Ernest Tubb and The Andrew Sisters': ""I'm Biting My Finger Nails"", 'Loretta Lynn and Ernest Tubb': 'Our Hearts Are Holding Hands', 'Cindy Walker': 'I Love Everything About You', 'Terri Hendrix': ""Don't Meddle In My Mood"", 'Moe Bandy & Judy Bailey': ""It's You and Me Again"", 'Waylon Jennings & Jessi Colter': 'Under Your Spell Again', 'Shannon McNally': 'Waltz Me To Heaven', 'Bruce Robinson & Kelly Willis': 'Tennessee Blues', 'Willie Nelson': 'Me and Paul', 'Kris Kristofferson & Rita Coolidge': 'We Must Have Been Out Of Our Minds', 'George Jones': 'White Lightning', 'Hargus ""Pig"" Robbins': 'Sweet Dreams', 'Buddy Emmons feat Pig Robbins': 'I Needed You', 'Open Range feat Linda Hausler': 'Swingtime In The Rockies', 'Bill Hearne': 'Come Back To Old Santa Fe', 'Joe Ely': 'When Nights Are Cold', 'The Flatlanders feat Joe Ely': 'Satin Shoes', 'The Jitterbug Vipers feat Slim Richey': 'Dangerous', 'Kenny Grimes and Hal Ketchum': 'New Mexican Rain', 'Kent Finlay': ""A Quarter Ain't Worth Two Bits"", 'Brennen Leigh and Noel McKay': 'Saturday Night Dreamer', 'Tom Russell': 'Isadore Gonzales', 'The Keller Brothers': 'Be Kind'}"
Tuesday,11am - 12pm,The Dark End Of The Street,2022-02-11,"{'James Carr': 'Dark End of the Street', 'Candi Staton': 'He Called Me Baby', 'Aretha Franklin': 'Come Back Baby', 'Z.Z. Hill': 'Your Love Makes Me Feel Good', 'Laura Lee': 'As Long As I Got You', 'Earl Gaines': 'From Warm to Cool to Cold', 'Ray Sharpe': 'Help Me', 'Sebastian Williams & His Soulmen': ""The One You Can't Have"", 'Prince Phillip': ""Hail Hail the Gang's All Here"", 'Willie Mitchell': 'Chilly Chilly', 'Thelma Jones': 'Mr. Fix It', 'Etta James': 'You Got It', 'Wilson Pickett': 'Night Owl', 'Clay Hammond': 'My Jealous Girl', 'Oscar Mack': ""Don't Be Afraid of Love"", 'Otis Redding': 'Chain Gang', 'Jackie Avery': 'I Got Love', 'Eddie Bradford': 'A Mighty Long Way', 'Oscar Toney, Jr.': 'Person to Person', 'Booker T. & the MGs': ""Hang 'Em High""}"
Tuesday,12pm - 1pm,Roots Train,2022-02-11,"{'Prince Jammy With Sly & Robbie / Black Uhury': 'Weeping Willow', 'Black Uhuru': 'Willow Tree', 'Keith Hudson': 'Treasures Of The World', 'Noel Phillips': 'Youth Man', 'Sister Audrey': 'Children Of The Ghetto', 'The Original Wailers': 'Nice Time', 'Joe Gibbs & The Professionals': 'Chapter 2', 'The Travellers': 'Jah Gave Us This World', 'The Jays': 'Jah Do Love Us', 'Fred Locks': 'Black Star Line', 'I Kong': 'The Way it Is', 'Dennis Brown & Prince Mohamed': 'Money In My Pocket/Cool Runnings'}"
Tuesday,3pm - 4:30pm,Under The Eternal Night,2022-02-11,"{'Taake': 'Vid VI', 'Godhead Machinery': 'Upon His Deceitful Star', 'Sekoria': 'Das eigene Sein', 'Krvvla': 'XVII', 'Darvaza': 'Mouth of the Dragon', 'Belore': 'Moonstone', 'Schrat': 'Chaosbomber – Kenaz', 'Grabnebelfürsten': 'Abstrakte Wunden verbaler Schwerter', 'Midnartiis': 'Sinew of Sol', 'Totenmond': 'Öfter mal ins Blaue', 'Seid': 'The Vessel', 'Setherial': ""Satan's Realm"", 'Hickoids': 'Animal Husbandry'}"
Tuesday,4:30pm - 6pm,Le Chateau Daddy-O,2022-02-11,"{'Bill Withers': 'Harlem', 'The Spinners': ""I'll Be Around"", 'Billy Preston': 'Outta Space', ""The O'Jays"": 'Back Stabblers', 'Gil Scott': 'Heron', 'Al Green': ""I Can't Get Next to You"", 'Soho': 'Love Generation', 'Sly & The Family Stone': 'Dance to the Music', 'Smokey Robinson & The Miracles': 'Going to a Go Go', 'The 5th Dimension': 'California Soul', 'Aretha Franklin': 'The House That Jack Built', 'V.V. Brown': 'Crying Blood', 'The Temptations': 'Cloud Nine', 'Earth, Wind, & Fire': 'Shining Star', 'The Isley Brothers': 'Listen to the Music', 'James Brown': 'Say It Loud', 'Edwin Starr': 'War', 'Isaac Hayes': 'Never Can Say Goodbye', 'The Bar': 'Kays', 'Tower of Power': 'Soul Vaccination'}"
